step,t,solve_ms,mx,my,myaw_deg,v,min_dist,ref_x,ref_y,steer_rad,accel_cmd,throttle,brake,z,vz,step_ms
162,39.384,16.3453,17.599,0.941,6.41,2.558,0.706,17.656,0.237,-0.0216,-0.1196,0.018,0.000,0.200,0.002,50.056
163,39.635,17.1196,17.728,0.950,6.19,2.579,0.689,17.811,0.266,-0.0433,0.1686,0.044,0.000,0.200,-0.014,50.124
164,39.835,15.5046,17.857,0.960,6.03,2.591,0.673,17.965,0.296,-0.0219,0.0368,0.032,0.000,0.199,-0.007,50.297
165,40.084,15.8692,17.986,0.970,5.92,2.604,0.656,18.119,0.328,-0.0489,0.0240,0.031,0.000,0.199,-0.014,50.135
166,40.335,21.4724,18.116,0.981,5.83,2.620,0.639,18.272,0.361,-0.0084,-0.1509,0.016,0.000,0.199,-0.005,100.017
167,40.585,20.0755,18.246,0.992,5.74,2.613,0.622,18.425,0.396,0.0327,-0.0114,0.028,0.000,0.199,-0.011,50.422
168,40.835,21.0469,18.376,1.004,5.66,2.602,0.606,18.578,0.433,0.0205,-0.0687,0.023,0.000,0.199,-0.025,99.992
169,41.085,24.7620,18.505,1.018,5.66,2.609,0.590,18.578,0.433,0.0184,0.0326,0.032,0.000,0.198,-0.023,49.840
170,41.285,28.2151,18.634,1.033,5.73,2.608,0.570,18.730,0.471,0.0528,0.0233,0.031,0.000,0.198,-0.012,50.280
171,41.585,36.8269,18.763,1.047,5.80,2.608,0.549,18.882,0.511,0.0507,-0.0607,0.023,0.000,0.198,-0.009,99.957
172,41.835,18.6397,18.892,1.063,5.86,2.608,0.530,19.034,0.553,0.0318,0.0659,0.035,0.000,0.198,-0.009,100.290
173,42.085,33.8876,19.021,1.080,5.96,2.605,0.511,19.185,0.596,0.0854,-0.0653,0.023,0.000,0.198,0.003,49.972
174,42.335,20.0379,19.149,1.096,6.07,2.607,0.493,19.335,0.640,0.0857,-0.1964,0.011,0.000,0.199,0.009,100.850
175,42.635,20.2857,19.278,1.114,6.19,2.590,0.475,19.486,0.686,0.0679,-0.1346,0.017,0.000,0.199,0.010,100.172
176,42.884,17.8013,19.405,1.132,6.33,2.563,0.453,19.486,0.686,0.0592,-0.1900,0.011,0.000,0.198,0.013,100.104
177,43.184,20.6274,19.531,1.151,6.51,2.543,0.430,19.635,0.734,0.0996,-0.1120,0.018,0.000,0.198,0.020,100.463
178,43.435,17.7735,19.656,1.171,6.70,2.514,0.408,19.784,0.783,0.1039,-0.2588,0.005,0.000,0.198,0.018,100.496
179,43.685,19.8846,19.779,1.191,6.88,2.492,0.388,19.933,0.834,0.0913,-0.1572,0.014,0.000,0.198,0.018,50.308
180,43.885,22.8222,19.901,1.212,7.08,2.464,0.371,20.081,0.887,0.0774,-0.2449,0.006,0.000,0.198,0.022,50.343
181,44.135,20.9312,20.022,1.233,7.33,2.441,0.352,20.081,0.887,0.1135,-0.2255,0.007,0.000,0.197,0.027,50.238
182,44.385,19.2336,20.141,1.255,7.56,2.403,0.326,20.229,0.941,0.1114,-0.1815,0.011,0.000,0.198,0.022,100.009
183,44.685,26.1599,20.258,1.277,7.78,2.364,0.304,20.376,0.996,0.1052,-0.2206,0.007,0.000,0.197,0.011,100.330
184,44.934,17.2004,20.374,1.300,8.01,2.337,0.288,20.522,1.053,0.0986,-0.2089,0.008,0.000,0.197,0.005,100.144
185,45.184,24.4054,20.488,1.324,8.28,2.307,0.272,20.522,1.053,0.1265,-0.0054,0.026,0.000,0.197,0.001,50.048
186,45.435,27.4899,20.600,1.347,8.55,2.281,0.245,20.668,1.112,0.1098,0.0621,0.032,0.000,0.197,-0.009,100.054
187,45.734,23.8163,20.712,1.372,8.81,2.283,0.224,20.813,1.172,0.1192,-0.0202,0.024,0.000,0.197,-0.017,100.009
188,45.935,18.8909,20.823,1.397,9.07,2.292,0.211,20.957,1.234,0.1464,-0.0103,0.025,0.000,0.198,-0.025,49.966
189,46.235,20.0764,20.935,1.423,9.36,2.293,0.190,20.957,1.234,0.1712,-0.2744,0.002,0.000,0.198,-0.031,100.096
190,46.435,15.0295,21.047,1.450,9.67,2.277,0.163,21.101,1.297,0.1522,-0.0519,0.021,0.000,0.198,-0.029,50.149
191,46.684,15.4815,21.156,1.479,10.01,2.248,0.147,21.244,1.361,0.1425,0.1597,0.040,0.000,0.198,-0.023,50.342
