step,t,solve_ms,mx,my,myaw_deg,v,min_dist,ref_x,ref_y,steer_rad,accel_cmd,throttle,brake,z,vz,step_ms
89,425.841,4654.1095,9.803,-0.313,-2.07,2.503,0.313,9.800,0.000,0.1216,0.0443,0.035,0.000,0.198,0.029,49.836
90,430.841,4768.5633,9.928,-0.308,-1.76,2.504,0.309,9.900,0.000,0.1058,0.0257,0.033,0.000,0.198,0.024,100.065
91,435.990,4882.2426,10.054,-0.303,-1.43,2.515,0.306,10.100,0.000,0.1153,0.0020,0.031,0.000,0.198,0.028,100.198
92,440.992,4770.1080,10.181,-0.297,-1.11,2.515,0.298,10.200,0.000,0.1271,-0.0753,0.024,0.000,0.198,0.024,100.013
93,445.791,4530.8533,10.307,-0.291,-0.80,2.511,0.291,10.300,0.000,0.1311,-0.1047,0.022,0.000,0.198,0.023,99.427
94,450.541,4524.4594,10.433,-0.283,-0.47,2.505,0.285,10.400,0.000,0.1290,-0.1731,0.016,0.000,0.198,0.017,100.098
95,455.341,4504.1169,10.559,-0.274,-0.11,2.496,0.277,10.600,0.000,0.1324,-0.2282,0.010,0.000,0.198,0.023,100.296
96,460.041,4490.9677,10.684,-0.264,0.25,2.476,0.265,10.700,0.000,0.1458,-0.2442,0.009,0.000,0.197,0.029,100.248
97,464.892,4608.1724,10.807,-0.254,0.61,2.446,0.254,10.800,0.000,0.1344,-0.2594,0.007,0.000,0.197,0.031,50.334
98,469.841,4718.3994,10.929,-0.242,0.98,2.417,0.244,10.900,0.000,0.0167,-0.1856,0.013,0.000,0.197,0.037,100.022
99,474.491,4423.3046,11.049,-0.230,1.35,2.390,0.235,11.000,0.000,-0.0146,-0.1765,0.014,0.000,0.197,0.042,49.317
100,479.291,4578.4741,11.167,-0.219,1.67,2.362,0.222,11.200,0.000,0.0441,-0.1603,0.015,0.000,0.197,0.045,100.515
101,483.992,4441.9924,11.284,-0.210,1.87,2.331,0.211,11.300,0.000,0.0371,-0.1281,0.018,0.000,0.198,0.033,99.881
102,488.441,4287.0238,11.399,-0.203,1.96,2.305,0.203,11.400,0.000,0.0957,-0.1351,0.017,0.000,0.198,0.017,50.068
103,493.241,4585.3129,11.514,-0.196,2.05,2.287,0.196,11.500,0.000,0.1514,-0.1515,0.015,0.000,0.198,-0.008,50.546
104,497.991,4523.8154,11.628,-0.188,2.15,2.269,0.190,11.600,0.000,0.2328,-0.0460,0.025,0.000,0.198,-0.022,100.012
105,502.841,4584.3015,11.741,-0.180,2.31,2.260,0.184,11.700,0.000,0.2616,-0.0147,0.027,0.000,0.198,-0.023,99.565
106,507.541,4500.9713,11.853,-0.169,2.51,2.266,0.175,11.900,0.000,0.2669,0.0423,0.032,0.000,0.197,-0.028,49.940
107,512.492,4693.0903,11.966,-0.156,2.78,2.270,0.160,12.000,0.000,0.2572,0.0871,0.036,0.000,0.197,-0.012,99.962
108,517.391,4671.4900,12.080,-0.141,3.13,2.290,0.143,12.100,0.000,0.2756,0.0051,0.029,0.000,0.197,-0.006,99.848
109,522.342,4691.7460,12.193,-0.123,3.54,2.308,0.123,12.200,0.000,0.2729,0.0567,0.034,0.000,0.196,-0.011,100.050
110,527.092,4545.3102,12.307,-0.103,4.00,2.304,0.103,12.300,0.000,0.2891,0.1116,0.039,0.000,0.196,0.006,99.946
111,531.942,4582.5835,12.421,-0.080,4.50,2.311,0.083,12.400,0.000,0.3385,0.0750,0.036,0.000,0.196,-0.013,99.964
112,536.742,4555.1771,12.536,-0.055,5.07,2.335,0.066,12.500,0.000,0.3538,0.1987,0.047,0.000,0.196,-0.001,100.274
113,541.642,4617.4019,12.651,-0.027,5.71,2.356,0.056,12.700,0.000,0.4024,0.1428,0.042,0.000,0.196,0.002,100.309
114,546.042,4186.8673,12.766,0.004,6.41,2.380,0.035,12.800,0.000,0.4420,0.1212,0.040,0.000,0.195,0.010,99.997
115,550.592,4323.5585,12.881,0.038,7.17,2.400,0.043,12.900,0.000,0.4560,0.0985,0.038,0.000,0.195,-0.008,50.039
116,555.192,4442.3153,12.997,0.076,7.99,2.400,0.076,13.000,0.000,0.4666,0.0302,0.032,0.000,0.195,-0.013,49.659
117,559.992,4554.1485,13.112,0.118,8.88,2.402,0.119,13.100,0.000,0.4874,0.0191,0.031,0.000,0.194,-0.030,50.424
118,564.592,4382.7059,13.227,0.164,9.84,2.401,0.166,13.200,0.000,0.4902,-0.0090,0.029,0.000,0.194,-0.025,99.902
119,569.392,4545.4517,13.340,0.213,10.89,2.401,0.217,13.300,0.000,0.4832,-0.0347,0.027,0.000,0.194,-0.011,99.789
120,574.142,4577.0656,13.451,0.266,12.01,2.392,0.271,13.500,0.000,0.4350,-0.0871,0.022,0.000,0.193,0.003,50.480
121,578.592,4211.8904,13.561,0.323,13.18,2.382,0.325,13.600,0.000,0.3844,-0.2446,0.008,0.000,0.193,-0.014,49.604
122,583.343,4523.4841,13.668,0.383,14.37,2.373,0.384,13.700,0.000,0.3250,-0.2535,0.007,0.000,0.194,-0.005,99.969
123,588.043,4462.3592,13.774,0.444,15.53,2.351,0.444,13.800,0.000,0.2473,-0.2317,0.008,0.000,0.195,-0.011,49.839
124,592.892,4617.3074,13.878,0.503,16.58,2.328,0.503,13.900,0.000,0.1480,-0.2591,0.006,0.000,0.196,0.008,100.289
