step,t,solve_ms,mx,my,myaw_deg,v,min_dist,ref_x,ref_y,steer_rad,accel_cmd,throttle,brake,z,vz
183,7.637,4.0697,15.868,1.513,16.60,1.790,1.486,15.942,0.030,-0.2862,0.5805,0.077,0.000,0.209,-0.004
184,7.677,1.9902,15.946,1.505,15.51,1.838,1.473,16.099,0.040,-0.2825,0.5933,0.078,0.000,0.209,0.047
185,7.716,2.0825,16.026,1.495,14.42,1.887,1.457,16.099,0.040,-0.2858,0.7538,0.093,0.000,0.209,-0.030
186,7.756,2.0421,16.107,1.484,13.34,1.934,1.439,16.255,0.053,-0.2823,0.7645,0.095,0.000,0.210,-0.001
187,7.796,2.0114,16.190,1.472,12.23,1.991,1.421,16.255,0.053,-0.2806,0.8159,0.101,0.000,0.210,0.014
188,7.837,2.0521,16.275,1.459,11.11,2.035,1.399,16.412,0.067,-0.2783,0.8183,0.102,0.000,0.211,0.006
189,7.877,2.4682,16.362,1.444,9.97,2.097,1.377,16.568,0.082,-0.2689,0.7904,0.101,0.000,0.211,0.014
190,7.916,4.8284,16.450,1.426,8.80,2.134,1.349,16.568,0.082,-0.2576,0.7946,0.102,0.000,0.212,-0.002
191,7.957,2.1675,16.540,1.408,7.65,2.202,1.321,16.724,0.099,-0.2513,0.7969,0.103,0.000,0.212,0.045
192,7.998,2.1046,16.633,1.388,6.48,2.290,1.292,16.724,0.099,-0.2355,0.7489,0.100,0.000,0.211,-0.016
193,8.036,2.0440,16.728,1.367,5.35,2.352,1.258,16.880,0.118,-0.2250,0.7505,0.101,0.000,0.211,-0.037
194,8.076,2.3394,16.826,1.345,4.24,2.417,1.225,17.036,0.139,-0.2168,0.7071,0.098,0.000,0.211,0.005
195,8.116,2.2023,16.926,1.323,3.16,2.500,1.189,17.036,0.139,-0.2027,0.6455,0.093,0.000,0.210,-0.005
196,8.156,2.0914,17.029,1.300,2.12,2.580,1.150,17.191,0.161,-0.1771,0.5493,0.086,0.000,0.209,-0.024
197,8.196,2.0967,17.134,1.275,1.10,2.648,1.111,17.347,0.185,-0.1569,0.4467,0.077,0.000,0.209,-0.035
198,8.237,2.1009,17.242,1.251,0.14,2.729,1.071,17.347,0.185,-0.1266,0.3348,0.068,0.000,0.208,-0.016
199,8.276,2.1566,17.352,1.227,-0.76,2.798,1.028,17.502,0.210,-0.1064,0.2583,0.062,0.000,0.207,0.003
200,8.316,2.3327,17.464,1.203,-1.58,2.858,0.985,17.656,0.237,-0.0842,0.1234,0.050,0.000,0.206,-0.004
201,8.357,4.4628,17.579,1.181,-2.29,2.916,0.944,17.811,0.266,-0.0548,-0.0005,0.039,0.000,0.204,-0.034
