step,t,solve_ms,mx,my,myaw_deg,v,min_dist,ref_x,ref_y,steer_rad,accel_cmd,throttle,brake,z,vz
115,5.405,16.8248,11.940,-0.202,2.58,1.964,0.206,11.900,0.000,0.1164,0.2321,0.037,0.000,0.195,0.008
116,5.446,13.9905,12.018,-0.187,2.98,1.960,0.188,12.000,0.000,0.1106,0.2567,0.039,0.000,0.196,0.014
117,5.485,14.9311,12.096,-0.173,3.38,1.979,0.173,12.100,0.000,0.1148,0.0961,0.025,0.000,0.196,0.013
118,5.525,15.9276,12.174,-0.158,3.75,1.989,0.160,12.200,0.000,0.0971,0.1539,0.031,0.000,0.197,0.010
119,5.566,16.4793,12.254,-0.143,4.09,2.002,0.150,12.300,0.000,0.0810,0.2781,0.042,0.000,0.198,0.003
120,5.607,17.7622,12.333,-0.127,4.44,2.016,0.131,12.300,0.000,0.1010,0.1178,0.028,0.000,0.198,0.011
121,5.645,14.4718,12.412,-0.112,4.77,2.026,0.112,12.400,0.000,0.1030,0.4151,0.055,0.000,0.198,0.004
122,5.686,15.2166,12.492,-0.096,5.09,2.046,0.097,12.500,0.000,0.1081,0.1261,0.029,0.000,0.199,0.003
123,5.725,13.7500,12.573,-0.080,5.39,2.050,0.085,12.600,0.000,0.1109,0.1705,0.033,0.000,0.199,-0.002
124,5.787,22.9799,12.655,-0.063,5.70,2.086,0.078,12.700,0.000,0.1243,0.4770,0.061,0.000,0.198,-0.003
125,5.846,25.6584,12.778,-0.036,6.23,2.110,0.042,12.800,0.000,0.1339,0.2002,0.037,0.000,0.198,-0.006
126,5.906,18.0660,12.903,-0.007,6.81,2.153,0.007,12.900,0.000,0.1537,0.1322,0.031,0.000,0.198,-0.006
127,5.966,24.9199,13.030,0.026,7.41,2.194,0.040,13.000,0.000,0.1865,0.3047,0.047,0.000,0.198,-0.004
128,6.006,15.0632,13.158,0.061,8.06,2.209,0.074,13.200,0.000,0.2230,0.2930,0.046,0.000,0.197,-0.016
129,6.046,14.4139,13.244,0.087,8.52,2.212,0.097,13.200,0.000,0.2461,-0.1565,0.006,0.000,0.197,-0.009
130,6.088,17.7168,13.330,0.114,9.01,2.241,0.117,13.300,0.000,0.2492,0.5753,0.071,0.000,0.196,0.014
131,6.126,15.5556,13.415,0.142,9.55,2.238,0.143,13.400,0.000,0.2520,0.1492,0.034,0.000,0.195,-0.032
132,6.166,14.3270,13.500,0.173,10.13,2.236,0.173,13.500,0.000,0.2475,0.3576,0.053,0.000,0.195,-0.043
133,6.205,14.0842,13.585,0.206,10.77,2.268,0.207,13.600,0.000,0.2257,0.3503,0.053,0.000,0.194,-0.000
134,6.246,15.4027,13.671,0.242,11.45,2.266,0.244,13.700,0.000,0.1945,0.0775,0.029,0.000,0.194,0.030
135,6.286,14.6025,13.756,0.280,12.16,2.300,0.283,13.800,0.000,0.1323,0.0793,0.029,0.000,0.194,-0.013
136,6.326,15.5659,13.842,0.320,12.93,2.324,0.322,13.800,0.000,0.0537,0.1107,0.032,0.000,0.194,0.004
137,6.366,15.5835,13.928,0.360,13.66,2.331,0.362,13.900,0.000,-0.0517,0.1574,0.036,0.000,0.195,-0.014
138,6.406,13.8723,14.015,0.400,14.34,2.330,0.401,14.000,0.000,-0.0855,-0.0081,0.022,0.000,0.196,0.030
139,6.446,14.6198,14.101,0.439,14.90,2.338,0.439,14.100,0.000,-0.0877,-0.0384,0.019,0.000,0.197,0.061
140,6.486,16.2206,14.189,0.474,15.32,2.331,0.474,14.200,0.000,-0.0984,0.0128,0.024,0.000,0.198,0.076
141,6.546,18.7398,14.276,0.506,15.59,2.322,0.507,14.300,0.000,-0.1275,-0.0571,0.017,0.000,0.199,0.005
142,6.586,16.3688,14.406,0.547,15.75,2.279,0.548,14.400,0.000,-0.1129,-0.1748,0.007,0.000,0.200,0.025
143,6.646,23.0417,14.493,0.571,15.72,2.242,0.571,14.500,0.000,-0.1047,0.1920,0.039,0.000,0.201,-0.033
144,6.686,14.8347,14.623,0.602,15.52,2.208,0.603,14.600,0.000,-0.0974,0.1489,0.036,0.000,0.200,-0.016
145,6.726,14.0709,14.709,0.621,15.35,2.175,0.621,14.700,0.000,-0.1093,0.2032,0.041,0.000,0.200,-0.020
146,6.765,13.7816,14.795,0.638,15.13,2.187,0.638,14.800,0.000,-0.1102,0.1690,0.038,0.000,0.200,0.020
147,6.806,14.1126,14.882,0.654,14.89,2.213,0.654,14.900,0.000,-0.0964,0.0130,0.024,0.000,0.200,0.008
148,6.846,14.4958,14.969,0.669,14.60,2.197,0.669,15.000,0.000,-0.1100,0.0554,0.028,0.000,0.201,-0.004
149,6.886,15.1707,15.056,0.682,14.26,2.192,0.684,15.000,0.000,-0.0915,0.1630,0.038,0.000,0.201,0.026
150,6.946,22.3579,15.144,0.694,13.88,2.201,0.693,15.157,0.001,-0.1149,0.0936,0.032,0.000,0.201,0.001
151,6.986,14.2240,15.276,0.711,13.33,2.209,0.709,15.314,0.003,-0.0959,0.0516,0.028,0.000,0.201,-0.009
152,7.045,22.9426,15.364,0.722,12.97,2.229,0.720,15.314,0.003,-0.0859,0.0788,0.030,0.000,0.201,-0.035
153,7.085,14.1413,15.498,0.737,12.45,2.232,0.730,15.471,0.007,-0.0923,0.2228,0.043,0.000,0.200,-0.028
154,7.126,14.8014,15.587,0.747,12.11,2.234,0.735,15.628,0.013,-0.0856,0.3977,0.059,0.000,0.200,-0.005
155,7.166,17.4023,15.676,0.757,11.78,2.246,0.745,15.785,0.021,-0.0821,0.2019,0.042,0.000,0.200,0.030
156,7.227,21.6565,15.765,0.767,11.45,2.264,0.747,15.785,0.021,-0.0803,0.2186,0.044,0.000,0.200,-0.011
157,7.266,16.0676,15.903,0.781,10.98,2.311,0.753,15.942,0.030,-0.0848,0.2299,0.045,0.000,0.200,0.003
158,7.306,16.6230,15.996,0.791,10.67,2.331,0.757,16.099,0.040,-0.0874,0.3533,0.057,0.000,0.201,-0.009
159,7.355,15.6394,16.090,0.800,10.36,2.354,0.759,16.099,0.040,-0.0910,-0.0874,0.018,0.000,0.201,0.023
160,7.395,16.1555,16.184,0.808,10.05,2.377,0.759,16.255,0.053,-0.0831,0.1268,0.037,0.000,0.201,0.010
161,7.435,16.2498,16.279,0.815,9.71,2.384,0.761,16.412,0.067,-0.0771,0.3086,0.053,0.000,0.202,-0.023
162,7.475,15.6468,16.374,0.822,9.36,2.372,0.757,16.412,0.067,-0.0580,0.0004,0.026,0.000,0.202,-0.003
163,7.535,24.9756,16.470,0.829,9.02,2.392,0.753,16.568,0.082,-0.0726,0.3401,0.056,0.000,0.201,0.014
164,7.575,14.0258,16.615,0.840,8.59,2.426,0.749,16.724,0.099,-0.0636,0.2044,0.045,0.000,0.201,0.013
165,7.613,15.6230,16.712,0.848,8.35,2.440,0.749,16.724,0.099,-0.0764,0.2269,0.047,0.000,0.200,0.010
166,7.655,14.8577,16.811,0.855,8.12,2.465,0.740,16.880,0.118,-0.0608,0.0221,0.029,0.000,0.200,-0.003
167,7.695,14.4379,16.909,0.862,7.87,2.485,0.734,17.036,0.139,-0.0404,0.1464,0.040,0.000,0.201,-0.027
168,7.755,20.5682,17.008,0.869,7.61,2.495,0.730,17.036,0.139,-0.0459,0.0998,0.036,0.000,0.201,-0.009
169,7.815,21.9489,17.157,0.879,7.23,2.516,0.719,17.191,0.161,-0.0478,0.2231,0.047,0.000,0.200,-0.016
170,7.854,15.2798,17.309,0.891,6.97,2.532,0.707,17.347,0.185,-0.0266,0.1670,0.042,0.000,0.200,0.008
171,7.894,14.6061,17.410,0.898,6.81,2.548,0.694,17.502,0.210,-0.0302,0.0829,0.035,0.000,0.200,-0.002
172,7.934,14.7892,17.512,0.905,6.62,2.565,0.684,17.656,0.237,-0.0392,0.2084,0.046,0.000,0.200,-0.000
173,7.974,15.0742,17.614,0.914,6.46,2.573,0.677,17.811,0.266,-0.0078,0.0959,0.037,0.000,0.200,0.006
174,8.014,13.8617,17.717,0.922,6.31,2.580,0.663,17.811,0.266,-0.0067,-0.0268,0.026,0.000,0.200,-0.011
175,8.054,14.0790,17.821,0.930,6.17,2.601,0.650,17.965,0.296,-0.0185,0.0033,0.029,0.000,0.200,-0.004
176,8.114,20.0374,17.925,0.938,6.07,2.604,0.641,18.119,0.328,-0.0203,-0.1035,0.019,0.000,0.200,0.012
177,8.154,14.0112,18.081,0.953,5.98,2.605,0.622,18.272,0.361,0.0074,-0.0092,0.027,0.000,0.200,-0.006
178,8.194,14.9050,18.185,0.962,5.93,2.594,0.607,18.272,0.361,0.0090,-0.1512,0.015,0.000,0.200,0.036
179,8.254,23.9036,18.288,0.971,5.85,2.587,0.591,18.425,0.396,0.0038,-0.0699,0.022,0.000,0.200,0.005
180,8.294,14.8146,18.441,0.987,5.78,2.572,0.571,18.578,0.433,-0.0024,-0.1635,0.013,0.000,0.199,0.013
181,8.334,15.6854,18.543,0.998,5.80,2.563,0.559,18.730,0.471,0.0206,-0.1928,0.011,0.000,0.198,0.030
182,8.374,15.4099,18.645,1.008,5.84,2.565,0.544,18.730,0.471,0.0190,-0.1458,0.014,0.000,0.198,-0.008
183,8.414,18.0255,18.746,1.019,5.85,2.530,0.526,18.882,0.511,0.0195,-0.1912,0.010,0.000,0.199,-0.031
184,8.453,15.6376,18.846,1.031,5.85,2.502,0.514,19.034,0.553,0.0181,-0.1918,0.010,0.000,0.199,-0.037
