step,t,solve_ms,mx,my,myaw_deg,v,min_dist,ref_x,ref_y,steer_rad,accel_cmd,throttle,brake,z,vz,step_ms
163,40.735,10.3482,17.583,1.178,-1.35,2.890,0.940,17.811,0.266,-0.1202,0.1901,0.054,0.000,0.203,-0.036,100.250
164,40.935,10.2796,17.728,1.156,-2.05,2.942,0.892,17.965,0.296,-0.0711,0.0910,0.045,0.000,0.202,-0.036,50.158
165,41.235,11.7097,17.877,1.136,-2.60,3.005,0.843,18.119,0.328,-0.0274,-0.0333,0.034,0.000,0.201,-0.022,100.054
166,41.435,9.7522,18.027,1.118,-3.00,3.031,0.795,18.119,0.328,0.0332,-0.0948,0.029,0.000,0.200,0.007,50.003
167,41.735,11.0217,18.178,1.104,-3.24,3.056,0.748,18.272,0.361,0.0794,-0.2524,0.015,0.000,0.199,-0.006,100.284
168,41.985,11.6514,18.330,1.093,-3.34,3.048,0.703,18.425,0.396,0.1375,-0.3141,0.009,0.000,0.198,-0.038,100.155
169,42.284,11.3749,18.482,1.087,-3.28,3.033,0.661,18.578,0.433,0.1790,-0.4356,0.000,0.002,0.196,-0.053,100.244
170,42.535,11.2717,18.633,1.083,-3.10,2.991,0.620,18.730,0.471,0.2121,-0.4906,0.000,0.008,0.195,-0.014,100.120
171,42.784,10.2773,18.782,1.082,-2.83,2.957,0.580,18.882,0.511,0.2479,-0.5061,0.000,0.010,0.195,0.008,49.921
172,42.984,10.0183,18.929,1.085,-2.50,2.909,0.542,19.034,0.553,0.2804,-0.5006,0.000,0.010,0.194,-0.009,50.171
173,43.285,11.5568,19.073,1.090,-2.10,2.856,0.507,19.185,0.596,0.2971,-0.5177,0.000,0.012,0.194,-0.015,100.215
174,43.535,10.1834,19.215,1.098,-1.63,2.814,0.474,19.335,0.640,0.3121,-0.5413,0.000,0.015,0.193,-0.022,99.565
175,43.835,10.0449,19.354,1.110,-1.08,2.753,0.443,19.486,0.686,0.3417,-0.5157,0.000,0.013,0.193,-0.012,100.542
176,44.035,12.0028,19.490,1.124,-0.46,2.696,0.416,19.635,0.734,0.3457,-0.4837,0.000,0.011,0.193,0.002,50.228
177,44.335,12.3063,19.623,1.142,0.23,2.659,0.393,19.784,0.783,0.3669,-0.4936,0.000,0.013,0.192,-0.008,100.505
178,44.586,9.8648,19.754,1.163,0.98,2.594,0.374,19.933,0.834,0.3857,-0.4639,0.000,0.010,0.192,-0.009,100.204
179,44.885,13.4396,19.881,1.187,1.77,2.523,0.357,19.933,0.834,0.3897,-0.4197,0.000,0.007,0.192,-0.011,99.527
180,45.135,12.4632,20.005,1.215,2.60,2.457,0.337,20.081,0.887,0.3882,-0.3620,0.000,0.003,0.192,-0.009,100.352
181,45.435,11.5783,20.126,1.245,3.47,2.406,0.321,20.229,0.941,0.3853,-0.3442,0.000,0.001,0.192,-0.021,100.234
182,45.634,10.0183,20.244,1.278,4.39,2.371,0.311,20.376,0.996,0.3690,-0.3157,0.001,0.000,0.192,-0.021,50.324
183,45.885,13.2125,20.358,1.314,5.35,2.330,0.308,20.522,1.053,0.3757,-0.2631,0.005,0.000,0.192,-0.019,50.145
184,46.136,13.1079,20.470,1.352,6.32,2.286,0.303,20.522,1.053,0.3704,-0.2389,0.007,0.000,0.192,-0.007,99.964
185,46.435,12.2855,20.579,1.391,7.29,2.242,0.293,20.668,1.112,0.3540,-0.0902,0.020,0.000,0.192,-0.000,100.282
186,46.685,11.7676,20.685,1.431,8.23,2.202,0.289,20.813,1.172,0.3412,-0.0576,0.022,0.000,0.192,-0.006,100.125
187,46.985,11.1319,20.789,1.472,9.12,2.188,0.291,20.957,1.234,0.3338,0.0061,0.028,0.000,0.193,-0.021,100.020
188,47.185,11.2156,20.893,1.513,9.98,2.187,0.286,20.957,1.234,0.3239,0.0310,0.030,0.000,0.194,-0.011,49.940
189,47.485,12.3761,20.997,1.555,10.79,2.192,0.278,21.101,1.297,0.3259,0.0170,0.029,0.000,0.195,-0.023,100.326
190,47.685,12.8213,21.100,1.597,11.58,2.191,0.276,21.244,1.361,0.3213,0.0573,0.033,0.000,0.195,-0.010,50.189
191,47.985,11.6586,21.202,1.641,12.37,2.197,0.282,21.387,1.428,0.3088,0.1217,0.038,0.000,0.196,-0.025,100.241
