step,t,mx,my,myaw_deg,v,min_dist,ref_x,ref_y,steer_rad,accel_cmd,throttle,brake,z,vz
176,31.062,8.245,29.858,175.47,2.449,0.149,8.200,30.000,-0.0203,0.0706,0.032,0.000,0.593,0.001
177,31.264,7.756,29.913,174.95,2.472,0.097,7.800,30.000,0.0078,-0.1026,0.017,0.000,0.598,0.047
178,31.413,7.389,29.952,174.71,2.439,0.049,7.400,30.000,0.0264,-0.1154,0.015,0.000,0.606,0.046
179,31.613,6.910,29.988,174.95,2.362,0.016,6.900,30.000,0.0417,-0.3128,0.000,0.002,0.609,-0.036
180,31.761,6.560,30.004,175.34,2.298,0.040,6.600,30.000,0.0363,-0.4267,0.000,0.013,0.602,-0.055
181,31.964,6.116,30.017,176.03,2.127,0.023,6.100,30.000,0.0488,-0.4264,0.000,0.013,0.592,-0.040
182,32.115,5.801,30.021,176.52,2.093,0.021,5.800,30.000,0.0231,-0.3895,0.000,0.010,0.578,-0.131
183,32.319,5.387,30.023,177.21,2.049,0.027,5.400,30.000,0.0321,-0.2445,0.002,0.000,0.550,-0.133
184,32.463,5.080,30.026,177.50,2.027,0.033,5.100,30.000,0.0508,-0.4233,0.000,0.014,0.534,-0.037
185,32.667,4.684,30.020,178.09,1.927,0.026,4.700,30.000,0.0603,-0.3463,0.000,0.008,0.546,0.086
186,32.820,4.400,30.006,178.78,1.850,0.006,4.400,30.000,0.0612,-0.5937,0.000,0.030,0.559,0.101
187,33.013,4.046,29.976,179.86,1.665,0.052,4.000,30.000,0.0672,-0.3769,0.000,0.012,0.587,0.176
188,33.163,3.806,29.952,-179.40,1.579,0.049,3.800,30.000,0.0638,-0.4109,0.000,0.015,0.608,0.111
189,33.367,3.499,29.918,-178.43,1.505,0.082,3.500,30.000,0.0455,-0.2116,0.002,0.000,0.628,0.111
190,33.513,3.273,29.889,-177.66,1.532,0.114,3.300,30.000,0.0161,-0.3388,0.000,0.010,0.650,0.116
191,33.714,2.956,29.857,-176.92,1.648,0.150,3.000,30.000,-0.0097,-0.2228,0.000,0.000,0.661,-0.039
192,33.861,2.703,29.838,-176.66,1.741,0.162,2.700,30.000,-0.0136,-0.3387,0.000,0.010,0.657,-0.043
193,34.064,2.347,29.821,-176.63,1.814,0.185,2.300,30.000,0.0075,-0.4056,0.000,0.017,0.654,0.001
194,34.213,2.080,29.805,-176.68,1.792,0.196,2.100,30.000,0.0128,-0.4227,0.000,0.019,0.659,0.052
195,34.413,1.715,29.784,-176.60,1.897,0.217,1.700,30.000,0.0103,-0.4562,0.000,0.022,0.625,-0.311
196,34.563,1.424,29.768,-176.72,1.907,0.233,1.400,30.000,0.0173,-0.6287,0.000,0.038,0.583,0.038
197,34.762,1.083,29.730,-177.05,1.523,0.270,1.100,30.000,-0.0006,-0.5582,0.000,0.033,0.603,0.122
198,34.913,0.870,29.709,-177.29,1.394,0.293,0.900,30.000,0.0061,-0.3666,0.000,0.016,0.598,-0.215
199,35.113,0.601,29.700,-177.80,1.301,0.300,0.600,30.000,-0.0115,-0.2441,0.000,0.006,0.561,0.013
200,35.264,0.403,29.685,-178.10,1.368,0.315,0.400,30.000,0.0009,-0.2640,0.000,0.008,0.552,-0.132
201,35.463,0.112,29.677,-178.49,1.543,0.323,0.100,30.000,-0.0059,-0.2673,0.000,0.009,0.510,-0.177
202,35.613,-0.118,29.661,-178.49,1.494,0.339,-0.100,30.000,-0.0007,-0.0713,0.008,0.000,0.520,0.268
203,35.813,-0.405,29.642,-178.55,1.405,0.358,-0.400,30.000,-0.0247,-0.0376,0.011,0.000,0.558,0.165
204,35.963,-0.609,29.627,-178.46,1.339,0.373,-0.600,30.000,-0.0315,-0.0310,0.012,0.000,0.584,0.125
205,36.163,-0.885,29.618,-178.36,1.431,0.382,-0.900,30.000,-0.0290,-0.0146,0.013,0.000,0.595,0.013
206,36.316,-1.105,29.615,-178.44,1.509,0.385,-1.100,30.000,-0.0349,-0.0278,0.012,0.000,0.592,-0.027
207,36.513,-1.416,29.614,-178.53,1.602,0.386,-1.400,30.000,-0.0517,-0.0275,0.012,0.000,0.591,0.036
208,36.663,-1.664,29.615,-178.62,1.674,0.387,-1.700,30.000,-0.0524,0.0376,0.018,0.000,0.597,0.088
209,36.862,-2.008,29.625,-179.02,1.784,0.375,-2.000,30.000,-0.0430,0.0438,0.018,0.000,0.601,-0.088
210,37.012,-2.284,29.640,-179.41,1.890,0.360,-2.300,30.000,-0.0371,0.1218,0.025,0.000,0.578,-0.173
211,37.212,-2.673,29.660,-179.86,1.972,0.341,-2.700,30.000,-0.0410,0.0399,0.018,0.000,0.543,-0.104
212,37.362,-2.961,29.674,179.71,1.842,0.328,-3.000,30.000,-0.0217,0.0787,0.022,0.000,0.543,0.078
